code_dpt;code_comm;lib_comm;pom_nbe;pom_surf;poi_nbe;poi_surf;pec_nbe;pec_surf;pru_nbe;pru_surf;abr_nbe;abr_surf;cer_nbe;cer_surf;noy_nbe;noy_surf;kiw_nbe;kiw_surf;rai_nbe;rait_surf;ora_nbe;ora_surf;cle_nbe;cle_surf;cit_nbe;cit_surf;aagrm_nbe;aagrm_surf
02;02734;Taillefontaine;-9999;-9999;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02;02740;Thenailles;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02;02789;Vervins;0;0;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02;02810;Villers-Cotterêts;-9999;-9999;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02;02814;Villers-lès-Guise;-9999;-9999;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02;02827;Voyenne;0;0;0;0;0;0;0;0;0;0;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02;02829;Vuillery;0;0;0;0;0;0;0;0;0;0;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03;03007;Arpheuilles-Saint-Priest;-9999;-9999;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03;03025;Bessay-sur-Allier;0;0;0;0;0;0;0;0;0;0;0;0;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0
03;03071;Chavroches;0;0;0;0;0;0;0;0;0;0;0;0;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0
03;03074;Chevagnes;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03;03098;Désertines;-9999;-9999;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03;03225;Saint-Désiré;0;0;0;0;0;0;0;0;0;0;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03;03247;Saint-Menoux;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03;03262;Saint-Victor;-9999;-9999;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04013;Aubignosc;-9999;-9999;0;0;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04027;Bevons;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04036;Brusquet;-9999;-9999;0;0;0;0;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04037;Caire;6;61;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04049;Château-Arnoux-Saint-Auban;0;0;0;0;-9999;-9999;0;0;-9999;-9999;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04051;Châteauneuf-Miravail;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04058;Claret;15;124;11;29;-9999;-9999;0;0;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04065;Cruis;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04066;Curbans;7;41;6;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04075;Entrepierres;-9999;-9999;0;0;-9999;-9999;0;0;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04076;Entrevaux;-9999;-9999;0;0;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04079;Escale;-9999;-9999;0;0;0;0;0;0;4;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04085;Faucon-du-Caire;-9999;-9999;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04112;Manosque;15;276;-9999;-9999;-9999;-9999;0;0;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04116;Mées;5;319;0;0;0;0;0;0;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04118;Melve;4;21;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04123;Mison;29;316;3;9;-9999;-9999;0;0;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04134;Motte-du-Caire;11;102;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04149;Peyruis;-9999;-9999;-9999;-9999;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04150;Piégut;-9999;-9999;0;0;0;0;0;0;0;0;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04156;Puimichel;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04157;Puimoisson;0;0;0;0;0;0;0;0;0;0;0;0;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0
04;04160;Reillanne;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-9999;-9999;0;0;0;0;0;0;0;0
04;04166;Riez;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04;04172;Roumoules;-9999;-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
