Nom de la gare;Code UIC complet;Code postal;Segmentation DRG 2018;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015
Oudon;87481184;44521;c;109963;109963;117191;117191;108209;108209.64146;98238;98238
Pagny;87713669;21250;c;10308;10308;11080;11080;9126;9126.754378;8135;8135
Pagny-sur-Meuse;87175828;55190;c;3520;3520;2801;2801;2931;2931.4;3962;3962
Pamproux;87485524;79800;c;6539;6539;5132;5132;6859;6859.459002;7432;7432
Parc des Expositions;87271486;93420;b;2874772;2874772;2824709;2824709;2721574;2721574.62454;2612134;2612134
Paris Austerlitz;87547000;75013;a;21830198;22544728;23212805;24037704;23110012;23908249.114;23328399;24147384
Penhoët;87321745;44600;c;33875;33875;34382;34382;34666;34666.479554;30736;30736
Pérenchies;87286278;59840;c;71974;71974;94338;94338;99739;99739.875676;103683;103683
Pernes - Camblain;87342550;62550;c;18796;18796;22198;22198;23632;23632.26849;21222;21222
Pertuis;87751362;84120;c;16784;16784;53695;53695;51534;51534.5887556;51241;51241
Peyrehorade;87672337;40300;c;15140;15140;18223;18223;17959;17959.088568;20360;20360
Phalempin;87286500;59133;b;304017;380021;305952;382441;273362;341703.679865;283486;354358
Pibrac;87611830;31820;b;107356;134195;132653;165817;140127;175159.447413;154145;192681
Picquigny;87313106;80310;c;63106;63106;66180;66180;70002;70002.739066;70293;70293
Pierre-Bénite;87722231;69310;c;30102;30102;30331;30331;25258;25258.806766;31180;31180
Pierreville;87141556;54160;c;0;0;270;270;1000;1000.223682;1906;1906
Pléchâtel;87471177;35470;c;23326;23326;16583;16583;21978;21978.3099;24308;24308
Plerguer;87478123;35540;c;661;661;2113;2113;2829;2829.684134;2974;2974
Plouharnel - Carnac;87476416;56340;c;4199;4199;3127;3127;3714;3714.1;2590;2590
Poissy;87386573;78300;b;10829929;10829929;10904209;10904209;10764545;10764545.8552;10622275;10622275
Poligny;87718189;39800;c;76978;76978;86711;86711;77485;77485.092188;80386;80386
Pomas;87615146;11250;c;130;130;324;324;1138;1138.199988;4264;4264
