Nom de la gare;Code UIC complet;Code postal;Segmentation DRG 2018;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015
Barentin;87411264;76360;b;222939;278674;238655;298319;254756;318445.18631;280261;350326
Barsanges;87592188;19170;c;0;0;0;0;0;0.0;0;0
Basse-Ham;87191601;57110;c;523;523;642;642;632;632.84;1408;1408
Batz-sur-Mer;87481770;44740;c;12216;12216;11675;11675;9851;9851.376848;8915;8915
Baume-les-Dames;87718460;25110;b;160265;200332;170977;213721;169972;212465.857122;175712;219640
Beaugency;87574160;45190;b;336506;420632;342444;428055;335196;418995.807863;351917;439896
Bécon les Bruyères;87382002;92400;b;17664549;17664549;13392399;13392399;11036425;11036425.9989;11602847;11602847
Belleville;87141804;54940;c;23040;23040;28306;28306;28504;28504.153074;28800;28800
Belleville-sur-Vie;87486142;85170;c;73772;73772;67909;67909;58233;58233.809382;49298;49298
Bergues;87281105;59380;b;178905;223631;181696;227120;170474;213092.615018;179040;223800
Berre;87753228;13130;c;0;0;0;0;0;0.0;0;0
Bersac;87592352;87370;c;4566;4566;5126;5126;5404;5404.219332;4818;4818
Bertrichamps;87141424;54120;c;3502;3502;3521;3521;4560;4560.694286;5641;5641
Bertry;87345553;59980;c;7001;7001;5685;5685;5869;5869.792736;6637;6637
Besançon Viotte;87718007;25000;a;1948332;2141025;2118267;2327766;2040910;2242759.02357;2123064;2333037
Beslé;87471219;44290;c;24110;24110;22423;22423;20650;20650.967236;20567;20567
Bièvres;87393546;91570;b;445094;445094;467275;467275;485754;485754.930926;496802;496802
Bischheim;87212308;67800;c;46267;46267;45637;45637;47310;47310.826538;43357;43357
Bischwiller;87213611;67240;b;597882;747353;578058;722573;541035;676294.601577;560026;700033
Blainville - Damelevières;87141135;54360;b;246147;307683;264277;330346;279193;348991.558673;295781;369727
Blaisy-Bas;87713073;21540;c;35558;35558;43707;43707;39990;39990.811428;42547;42547
Blangy-sur-Bresle;87313809;76340;c;22833;22833;28546;28546;31099;31099.852508;32310;32310
Blanquefort;87581728;33290;b;112764;140956;103648;129560;98420;123025.297385;116395;145494
Bois-le-Roi;87682203;77590;b;852249;852249;888325;888325;897509;897509.235005;915758;915758
Boisseaux;87543082;45480;c;7042;7042;6416;6416;5823;5823.77552;5618;5618
Boissise-le-Roi;87682518;77310;b;135224;135224;135661;135661;133121;133121.73715;130124;130124
Boissy-l'Aillerie;87381152;95650;b;228918;228918;273037;273037;251490;251490.18;242219;242219
Bollwiller;87182709;68540;b;259569;324461;260987;326234;257549;321937.263515;258783;323479
Bonnières;87415893;78270;b;216639;216639;209126;209126;194245;194245.217276;179386;179386
Bordeaux Saint-Jean;87581009;33800;a;16080989;20884401;14979299;19453635;12198403;15842081.8675;12062338;15665374
Bouffémont - Moisselles;87276485;95570;b;1078777;1078777;1036366;1036366;1013172;1013172.89708;970427;970427
Boulogne Tintelleries;87317016;62200;b;286180;357726;306739;383423;292292;365365.496795;306653;383316
Bourg-Bruche;87214775;67420;c;7918;7918;8579;8579;8146;8146.7365;8569;8569
Bourg-en-Bresse;87743005;1000;a;1662833;2078542;1814080;2267600;1728014;2160018.7365;1784643;2230804
Bourg-Lastic - Messeix;87641266;63760;c;116;116;61;61;28;28.0;61;61
Boussay - La Bruffière;87481176;44190;c;14045;14045;18605;18605;16363;16363.213646;17921;17921
Boussy-Saint-Antoine;87682138;91800;b;4009309;4009309;3963231;3963231;3854717;3854717.48604;3725311;3725311
Bouzonville;87193177;57320;c;23612;23612;28274;28274;27628;27628.191516;30252;30252
Bréauté - Beuzeville;87413344;76110;b;514962;643702;516073;645091;486612;608266.113553;497138;621423
Brebières Sud;87345108;62117;c;81038;81038;81110;81110;79737;79737.23348;79692;79692
Bretteville - Norrey;87444042;14740;c;19515;19515;22059;22059;20034;20034.896766;19555;19555
Brignoud;87747451;38190;b;235085;293856;259862;324827;235496;294370.860425;255609;319511
Broons;87473074;22250;c;31064;31064;24009;24009;20214;20214.260372;21995;21995
Brunoy;87682120;91800;b;3921763;3921763;4197687;4197687;4406282;4406282.95071;4604922;4604922
Bueil;87387092;27730;b;103373;129216;133082;166352;130854;163568.120063;127653;159566
Bully - Grenay;87342105;62160;b;174904;218631;198058;247573;196459;245573.785767;204688;255861
Byans;87718122;25320;c;4466;4466;8714;8714;11428;11428.520186;11908;11908
Callac;87473546;22160;c;23917;23917;24032;24032;21166;21166.023678;22912;22912
Campagnac - Saint-Geniez;87783340;12560;c;770;770;915;915;487;487.0;846;846
Cannes;87757625;6400;a;3503089;4434290;3853968;4878441;3460278;4380099.11151;3566157;4514123
Cannes La Bocca;87757617;6150;b;217673;272091;349434;436793;195274;244093.039273;191768;239710
Carcassonne;87615286;11000;a;693148;912037;844291;1110910;786810;1035276.67316;768690;1011434
Carignan;87172353;8110;c;20816;20816;24363;24363;28893;28893.739898;31371;31371
Castillon;87584136;33350;b;132624;165780;148967;186208;138851;173563.7974;149930;187413
Cattenières;87345587;59217;c;1;1;8;8;3;3.0;13;13
Caulnes;87473066;22350;c;45131;45131;36453;36453;31786;31786.265224;27383;27383
Cazères;87611079;31220;b;132125;165156;171050;213813;163036;203795.514603;169960;212450
Cercy-la-Tour;87696492;58340;c;26574;26574;33395;33395;33532;33532.727494;34819;34819
Cerizay;87487280;79140;c;483;483;315;315;322;322.2;474;474
Cesson;87682161;77240;b;2664844;2664844;2564062;2564062;2413702;2413702.57125;2259694;2259694
Ceyzériat;87743302;1250;c;4123;4123;4694;4694;4885;4885.0;4297;4297
Chamalières-sur-Loire;87734731;43800;c;1606;1606;1245;1245;1671;1671.2;1652;1652
Chamonix Aiguille du Midi;87462085;74400;c;4670;4670;3869;3869;3105;3105.0;3748;3748
Champigneulles;87141085;54250;c;11239;11239;9340;9340;13210;13210.1824;18940;18940
Chanac;87783530;48230;c;547;547;612;612;606;606.0;743;743
Château-du-Loir;87396606;72500;b;159432;199290;167877;209846;161421;201777.020603;161909;202387
Châteauneuf-sur-Cher;87576298;18190;c;9070;9070;11801;11801;11263;11263.521188;13422;13422
Châtellerault;87575142;86100;a;453838;567297;519242;649052;506257;632821.814717;525794;657243
Chelles - Gournay;87116111;77500;b;2320;2320;3005;3005;3924;3924.294838;4883;4883
Chessy;87721761;69380;c;19730;19730;20849;20849;27764;27764.88192;26779;26779
Chevrières;87276311;60710;c;25476;25476;27867;27867;24603;24603.92521;29656;29656
Chézy-sur-Marne;87116574;2570;c;105558;105558;106354;106354;101175;101175.052129;97565;97565
Chirac;87783290;48100;c;15;15;25;25;15;15.0;87;87
Cintegabelle;87611376;31550;b;78473;98091;104090;130112;98862;123578.21454;98714;123392
Clacy - Mons;87296178;2000;c;48;48;120;120;436;436.5;769;769
Clamart;87391565;92140;b;2298488;2298488;2539761;2539761;2744004;2744004.5231;2943676;2943676
Clerval;87184622;25340;c;44943;44943;56309;56309;46612;46612.555604;47372;47372
Cluses;87746370;74300;b;445404;556755;464060;580075;419989;524986.353947;415968;519960
Colmar Saint-Joseph;87181222;68000;c;78681;78681;87336;87336;84732;84732.833732;87946;87946
Colombes;87381087;92700;b;6301710;6301710;6158247;6158247;6083381;6083381.37794;6011575;6011575
Combourg;87478057;35270;b;266528;333160;267969;334961;262920;328650.402163;267557;334446
Combs-la-Ville - Quincy;87682146;77380;b;4558669;4558669;4571747;4571747;4496440;4496440.26426;4396308;4396308
Commentry;87641415;3600;b;135685;169606;149476;186845;152911;191139.227508;170189;212736
Compans;87272047;77290;c;40000;40000;39917;39917;41396;41396.9429511;40892;40892
Conlie;87396218;72240;c;68836;68836;65237;65237;63380;63380.421038;63827;63827
Corbehem;87345116;62112;c;29762;29762;31272;31272;30967;30967.162978;34093;34093
Corcy;87272286;2600;c;0;0;7;7;102;102.290322;529;529
Cordemais;87481820;44360;c;31510;31510;29016;29016;28563;28563.239196;29540;29540
Corgoloin;87713537;21700;c;12843;12843;13228;13228;12360;12360.594194;13779;13779
Cornil;87594481;19150;c;3654;3654;4309;4309;3443;3443.507734;3539;3539
Cosne-sur-Loire;87696146;58200;b;158219;197774;179187;223983;176942;221177.620503;194441;243051
Coucy-lès-Eppes;87171769;2840;c;7267;7267;7048;7048;7064;7064.642718;7102;7102
Coudekerque-Branche;87281402;59210;c;12240;12240;7773;7773;7710;7710.325986;7642;7642
Couëron;87481804;44220;c;46990;46990;37526;37526;32029;32029.49364;32373;32373
Coulanges-sur-Yonne;87696831;89480;c;2401;2401;2507;2507;2812;2812.94;3208;3208
Courcelles-sur-Nied;87192211;57530;c;20933;20933;25377;25377;27098;27098.54359;30617;30617
Courcy - Brimont;87171710;51220;c;18016;18016;18842;18842;20782;20782.384792;21508;21508
Coursan;87781161;11110;c;2708;2708;2550;2550;2154;2154.345162;2427;2427
Crest;87761783;26400;c;58015;58015;59650;59650;57212;57212.39245;56260;56260
Crissé;87396226;72140;c;2138;2138;2685;2685;2054;2054.5198;1355;1355
Cubzac-les-Ponts;87491266;33240;c;6782;6782;6708;6708;5138;5138.094266;5030;5030
Cuers - Pierrefeu;87755355;83390;c;52377;52377;62805;62805;50332;50332.4468331;38719;38719
Damblain;87142497;88320;c;406;406;601;601;581;581.2;579;579
Dannemarie - Velesmes;87718312;25410;c;21128;21128;25444;25444;28129;28129.79202;26559;26559
Decize;87696484;58300;b;78441;98052;94386;117982;90908;113635.623128;101184;126481
Dieulouard;87141812;54380;b;109715;137144;111942;139928;107485;134356.271123;114246;142808
Dieupentale;87611681;82170;c;78002;78002;104385;104385;99469;99469.592608;97030;97030
Digoin;87694695;71160;c;15496;15496;19277;19277;18785;18785.00871;21829;21829
Dissay;87575191;86130;c;25892;25892;26942;26942;26808;26808.5816;27494;27494
Dives - Cabourg;87444414;14390;c;20593;20593;26720;26720;24560;24560.4;26357;26357
Dole;87713412;39100;b;792855;991069;856029;1070036;809789;1012236.94723;803036;1003796
Dombasle-sur-Meurthe;87141119;54110;b;275229;344036;291561;364452;291766;364708.372527;308697;385871
Dompierre;87295774;59440;c;3117;3117;3163;3163;2891;2891.68159;3146;3146
Donchery;87172239;8350;c;22467;22467;25803;25803;26257;26257.613022;21570;21570
Dourdan la Forêt;87540179;91410;b;376329;376329;343508;343508;318798;318798.373608;281344;281344
Dourges;87345165;62119;b;247741;309676;255066;318832;240705;300881.893152;251402;314252
Drancy;87271403;93700;b;8834699;8834699;8618133;8618133;8273439;8273439.74286;7894541;7894541
Dreux;87393488;28100;b;1471100;1838875;1624942;2031177;1653481;2066851.97032;1784062;2230077
Ebersheim;87214106;67600;c;15104;15104;13195;13195;14582;14582.952914;15433;15433
Égly;87545475;91520;b;504309;504309;507106;507106;15996909;15996909.6579;15657355;15657355
Epfig;87214221;67680;c;22409;22409;24355;24355;26404;26404.88974;30750;30750
Épierre - Saint-Léger;87741280;73220;c;29200;29200;32609;32609;28939;28939.405326;30275;30275
Ermont - Eaubonne;87276055;95120;b;23068806;23068806;22292293;22292293;21694571;21694571.479;21190876;21190876
Esbly;87116327;77450;b;2298933;2298933;2289041;2289041;2232390;2232390.5835;2166527;2166527
Escalquens;87611707;31750;c;49190;49190;64311;64311;62219;62219.436378;63141;63141
Essonnes Robinson;87681601;91100;b;434431;434431;413180;413180;386612;386612.103718;360066;360066
Étainhus - Saint-Romain;87413328;76430;c;51343;51343;53959;53959;55746;55746.749584;62116;62116
Étampes;87545137;91150;b;2564122;2564122;2526177;2526177;2454630;2454630.22648;2361226;2361226
Étang;87694141;71190;c;67299;67299;72528;72528;71592;71592.525358;81646;81646
Étival-Clairefontaine;87144642;88480;c;53701;53701;58476;58476;54882;54882.140344;57310;57310
Eu;87317537;76260;c;23158;23158;31177;31177;32507;32507.37737;37137;37137
Évry - Courcouronnes;87681387;91000;b;10786999;10786999;10788240;10788240;10611588;10611588.2575;10369452;10369452
Farbus;87342527;62580;c;2718;2718;1824;1824;1852;1852.86588;2630;2630
Farébersviller;87193516;57450;c;2646;2646;3296;3296;3169;3169.7;3275;3275
Faubourg d'Orléans;87576173;41200;b;113984;142480;120806;151007;131611;164514.659815;122855;153569
Fécamp;87413542;76400;b;136324;170405;134107;167634;83873;104841.983505;95219;119024
Fellering;87182626;68470;c;24528;24528;26713;26713;29281;29281.80644;27050;27050
Feuquerolles;87316752;80190;c;238;238;397;397;547;547.199998;574;574
Feuquières - Fressenneville;87317503;80210;c;9990;9990;15591;15591;15714;15714.455698;19122;19122
Feurs;87726877;42110;b;166886;208608;188574;235718;165252;206565.691275;181429;226786
Flavy-le-Martel;87296871;2520;c;11848;11848;12315;12315;12559;12559.086978;14706;14706
Fleurville - Pont-de-Vaux;87725663;71260;c;14616;14616;16709;16709;15186;15186.425362;16776;16776
Fontan - Saorge;87756858;6540;c;4716;4716;7217;7217;5247;5247.93909084;4650;4650
Fors;87485326;79230;c;31508;31508;32571;32571;29733;29733.256456;28785;28785
Fos-sur-Mer;87753442;13270;c;7327;7327;10945;10945;9978;9978.08219392;11643;11643
Francheville;87722702;69340;c;72127;72127;73019;73019;62738;62738.55833;58285;58285
Frépillon;87276659;95740;b;359839;359839;349908;349908;338390;338390.893516;317993;317993
Frévin-Capelle;87342212;62690;c;6540;6540;7935;7935;7961;7961.516984;7262;7262
Fromental;87592360;87250;c;330;330;410;410;1042;1042.51613;890;890
Frontignan;87773556;34110;b;280570;350713;338991;423739;325249;406562.154745;321072;401340
Frynaudour;87473876;22860;c;695;695;165;165;159;159.0;607;607
Fumay;87172098;8170;c;74360;74360;90982;90982;97296;97296.851668;95133;95133
Gagny;87113514;93220;b;5138356;5138356;5217076;5217076;5196181;5196181.22;5124410;5124410
Gaillon - Aubevoye;87415620;27600;b;492341;615427;534151;667689;497116;621395.352585;486304;607880
Garches - Marnes-la-Coquette;87382259;92380;b;4439050;4439050;2734360;2734360;1713919;1713919.76;1827901;1827901
Gare routière de Digne les Bains;87751495;4000;;12814;12814;14709;14709;15039;15039.290062;16217;16217
Gennevilliers;87271205;92230;b;2081573;2081573;2169888;2169888;2176237;2176237.86346;2210303;2210303
Gertwiller;87214254;67140;c;24238;24238;25665;25665;24846;24846.445832;25690;25690
Gerzat;87734046;63360;c;23326;23326;28307;28307;29640;29640.386124;29522;29522
Gisors;87381244;27140;b;790312;987890;966083;1207604;943223;1179029.38497;958922;1198653
Gorges;87481432;44190;c;103820;103820;101521;101521;77112;77112.735264;29896;29896
Gourland;87473801;22200;c;2325;2325;1077;1077;382;382.2;1608;1608
Grande-Synthe;87281311;59760;c;8124;8124;7131;7131;5090;5090.75467;3812;3812
Grenoble Universités - Gières;87747402;38610;b;618398;772998;669715;837144;599039;748799.744145;606585;758231
Grigny le Sablon;87722298;69520;c;71224;71224;71350;71350;61896;61896.213048;60721;60721
Groslay;87276360;95410;b;1612611;1612611;1621062;1621062;1606173;1606173.04841;1573747;1573747
Gudmont;87142265;52320;c;2697;2697;2071;2071;1915;1915.8466;1642;1642
Guéret;87597609;23000;c;75117;75117;87870;87870;81869;81869.584988;83399;83399
Guillerval;87545129;91690;c;441;441;369;369;284;284.9;102;102
Gunsbach - Griesbach;87182386;68140;c;18386;18386;23087;23087;22226;22226.694848;20815;20815
Hargicourt - Pierrepont;87313338;80500;c;14222;14222;17002;17002;17562;17562.332308;16591;16591
Hasenrain;87181024;68100;c;0;0;566;566;395;395.1;378;378
Haybes;87172106;8170;c;28905;28905;30012;30012;30349;30349.613452;35602;35602
Hazebrouck;87286302;59190;b;1619445;2024306;1723580;2154475;1644597;2055746.76421;1686138;2107672
Héming;87215145;57830;c;281;281;1;1;308;308.910988;564;564
Héricourt;87184507;70400;b;124752;155940;142341;177926;138444;173055.448223;151785;189731
Hermes - Berthecourt;87313585;60370;b;99944;124931;96687;120859;97090;121363.455593;98430;123037
Hochfelden;87212167;67270;b;206165;257706;218011;272514;208774;260968.718808;210098;262622
Igney - Avricourt;87215103;54450;c;21470;21470;21906;21906;22803;22803.894248;21727;21727
Is-sur-Tille;87713859;21120;b;154136;192670;174961;218702;166581;208226.990958;173034;216293
Issy;87393074;92130;b;2474811;2474811;2511813;2511813;2491542;2491542.89961;2469582;2469582
Jarville-la-Malgrange;87141010;54140;c;32184;32184;30080;30080;27277;27277.747722;25777;25777
Jatxou;87673632;64480;c;5;5;9;9;20;20.0;13;13
Joeuf;87191700;54240;c;30885;30885;37144;37144;34647;34647.338464;35302;35302
Joncet;87784710;66193;c;29;29;49;49;33;33.0;29;29
Jouy-en-Josas;87393512;78350;b;837760;837760;844660;844660;862186;862186.490189;846383;846383
Juvisy;87545244;91260;b;41423348;41423348;41022643;41022643;40074494;40074494.0418;38747143;38747143
Kogenheim;87214114;67230;c;24598;24598;26817;26817;29731;29731.02901;31420;31420
Kurtzenhouse;87213660;67240;c;94148;94148;97670;97670;96678;96678.7507;103240;103240
La Barasse;87635581;13011;c;8554;8554;7963;7963;5171;5171.57112672;4047;4047
La Barre Ormesson;87271171;95170;b;2929551;2929551;2884526;2884526;2936108;2936108.88327;2976624;2976624
La Baule les Pins;87481697;44500;c;21261;21261;18698;18698;13785;13785.761316;15448;15448
La Bohalle;87487843;49800;c;24016;24016;23632;23632;24580;24580.520126;23516;23516
La Borne Blanche;87276287;60560;c;178673;178673;190468;190468;195102;195102.46513;203215;203215
La Celle-Saint-Cloud;87382432;78170;b;5287290;5287290;3255709;3255709;2036429;2036429.62;2005736;2005736
La Chapelle-Saint-Mesmin;87543371;45380;c;8556;8556;8066;8066;7211;7211.18129;6525;6525
La Chaumusse - Fort-du-Plasne;87715391;39150;c;1863;1863;3669;3669;3918;3918.856598;3331;3331
La Chaux-des-Crotenay;87715383;39230;c;1285;1285;2441;2441;1317;1317.6;1993;1993
La Coquille;87592501;24450;c;17110;17110;20906;20906;20871;20871.949276;20926;20926
La Crau;87755611;83260;c;56357;56357;61266;61266;44179;44179.8880724;15687;15687
La Croix de Méan;87481689;44600;c;1643;1643;1996;1996;2802;2802.31514;3800;3800
La Ferté-Bernard;87396325;72400;b;286134;357667;322483;403104;329562;411953.457352;354288;442860
La Grave d'Ambarès;87491274;33440;c;14632;14632;15121;15121;16509;16509.437074;16367;16367
La Haie-Fouassière;87481416;44690;c;156587;156587;152935;152935;123439;123439.47767;89051;89051
La Hutte Coulombiers;87396093;72130;c;14966;14966;15499;15499;13864;13864.445316;16714;16714
La Madeleine;87286187;59110;c;8509;8509;10248;10248;10580;10580.846544;11508;11508
La Membrolle-sur-Choisille;87571513;37390;c;1822;1822;1468;1468;1766;1766.339922;1699;1699
La Plaine Stade de France - Saint-Denis - Aubervilliers;87164798;93200;b;15861776;15861776;15580172;15580172;14993862;14993862.7833;14384541;14384541
La Porcherie;87592295;87380;c;2613;2613;2569;2569;4509;4509.251748;4962;4962
La Rivière de Mansac;87594416;19520;c;177;177;339;339;228;228.7;89;89
La Rochelle Porte Dauphine;87437798;17000;c;69109;69109;92158;92158;81938;81938.734422;84310;84310
La Seyne - Six Fours;87755264;83500;b;293355;366694;325938;407423;296391;370489.231604;279740;349675
La Valbonne;87723577;1360;b;180282;225353;195194;243993;183082;228853.07939;187822;234778
La Ville Gozet;87641191;3100;c;321;321;328;328;411;411.4;777;777
Lafarge;87592733;87260;c;4876;4876;5445;5445;6098;6098.750118;7759;7759
L'Aigle;87444638;61300;b;134750;168438;138322;172903;136643;170803.993895;126755;158444
Lalande Église;87611947;31000;c;0;0;1;1;0;0.0;411;411
Lamure-sur-Azergues;87721860;69870;c;21666;21666;22679;22679;26273;26273.089934;32362;32362
Lancerf;87473850;22860;c;358;358;134;134;325;325.0;339;339
Lancey;87417501;38190;b;139352;174190;140043;175054;123117;153897.139542;124771;155964
Laneuveville-devant-Nancy;87141093;54410;c;9556;9556;8653;8653;8719;8719.888572;9548;9548
Laon;87296012;2000;b;677171;846464;772982;966228;781255;976569.161592;809221;1011526
L'Arbresle;87721431;69210;b;729455;911819;780602;975753;729369;911712.043335;735649;919562
L'Ariane La Trinité;87751529;6340;c;23898;23898;23129;23129;17609;17609.4655131;14802;14802
Laval;87478404;53000;a;1340455;1786886;1318250;1757286;1250032;1666349.33584;1248381;1664147
Le Bosquet;87757757;6400;c;52143;52143;6957;6957;43474;43474.1396525;50071;50071
Le Breuil-sur-Couze;87734228;63340;c;20625;20625;23247;23247;21098;21098.845568;20173;20173
Le Cailar;87775825;30740;c;833;833;467;467;598;598.493548;234;234
Le Dramont;87757542;83530;c;6563;6563;4854;4854;6532;6532.28176101;6413;6413
Le Fauga;87611046;31410;c;52728;52728;62201;62201;53867;53867.15689;57731;57731
Le Havre;87413013;76600;a;1651915;2064894;1742027;2177533;1621008;2026260.58466;1749706;2187132
Le Havre Graville;87413203;76600;c;1484;1484;1160;1160;660;660.0;655;655
Le Merlerault;87444588;61240;c;521;521;483;483;593;593.0;573;573
Le Molay-Littry;87444083;14330;c;19002;19002;21613;21613;23463;23463.931416;23771;23771
Le Péage-de-Roussillon;87722678;38550;b;799488;999360;837606;1047008;786001;982502.142162;792485;990606
Le Quesnoy;87295857;59530;b;393995;492494;396415;495518;371186;463982.693462;406807;508509
Le Toec;87353573;31000;c;3553;3553;3025;3025;3435;3435.73195;3717;3717
Le Trayas;87757575;83700;c;3821;3821;4583;4583;5471;5471.87003344;6564;6564
Le Valdahon;87718544;25800;b;150733;188417;173004;216255;151751;189689.977555;158883;198603
Le Vernet d'Ariège;87611350;9700;c;8373;8373;12628;12628;14491;14491.862396;12612;12612
Leforest;87345223;62790;b;239341;299177;248146;310182;224614;280768.182522;222919;278649
Lépin-le-Lac - La Bauche;87741439;73610;c;55118;55118;63877;63877;53151;53151.166072;60382;60382
Les Bons Pères;87297515;59131;c;1004;1004;1068;1068;787;787.72;1070;1070
Les Cauquillous;87328021;81500;c;9895;9895;14838;14838;15190;15190.146454;16376;16376
Les Échets;87723718;1700;b;146987;183734;162984;203731;149484;186855.622285;142775;178469
Les Islettes;87175711;55120;;103;103;26;26;40;40.0;154;154
Les Laumes Alésia;87713115;21150;b;159684;199605;172023;215028;156184;195231.241478;166751;208438
Les Mais;87473587;22160;c;423;423;597;597;314;314.403268;280;280
Les Ramassiers;87353581;31000;c;6410;6410;6006;6006;9779;9779.681054;12025;12025
Les Rosiers-sur-Loire;87487876;49350;c;53053;53053;51409;51409;48540;48540.095228;52118;52118
Lesseux - Frapelle;87144329;88490;c;3;3;37;37;389;389.4;344;344
Leucate la Franqui;87781088;11370;c;53643;53643;65525;65525;58874;58874.62626;61925;61925
Lexos;87613489;82330;c;6027;6027;7007;7007;5923;5923.58;5148;5148
Lézignan-Corbières;87615112;11200;c;79030;79030;101833;101833;93211;93211.173542;90191;90191
L'Hospitalet près l'Andorre;87611517;9390;c;14734;14734;18765;18765;20230;20230.4;21743;21743
Liancourt - Rantigny;87276212;60140;b;274179;342723;295252;369065;282746;353432.84862;276860;346075
Limay;87381582;78520;b;616527;616527;560323;560323;544316;544316.277144;541977;541977
Limeyrat;87595553;24210;c;58;58;283;283;935;935.999994;674;674
Lingolsheim;87214502;67380;c;61627;61627;63737;63737;78643;78643.609854;78967;78967
L'Isle-sur-le-Doubs;87184572;25250;b;87144;108930;89119;111399;83533;104416.405445;92421;115527
Lison;87447219;14330;b;190364;237956;223467;279334;209488;261860.136843;227865;284832
L'Isthme;87476275;56170;c;315;315;563;563;1762;1762.0;2352;2352
Livron;87761247;26250;c;48642;48642;54515;54515;45918;45918.10109;45386;45386
Longecourt;87712620;21230;c;5133;5133;7745;7745;6576;6576.068572;6444;6444
Longpré-les-Corps-Saints;87313122;80510;b;140244;175305;155214;194017;148203;185253.919382;147432;184290
Longuerue - Vieux-Manoir;87411447;76750;c;11120;11120;9873;9873;11893;11893.228514;13770;13770
Loos lez Lille;87286112;59120;c;28581;28581;29733;29733;27143;27143.011234;28504;28504
Loos-en-Gohelle;87345033;62750;c;13253;13253;13300;13300;10081;10081.104882;9863;9863
Louhans;87713735;71500;c;26942;26942;28890;28890;24194;24194.183156;28046;28046
Loures - Barbazan;87611178;65370;c;1101;1101;1235;1235;1296;1296.706452;1389;1389
Louveciennes;87382457;78430;b;2518466;2518466;1551849;1551849;965641;965641.04;960243;960243
Louvroil;87295535;59720;c;3192;3192;3810;3810;4065;4065.698064;4706;4706
Luant;87597096;36350;c;30;30;268;268;755;755.2033;924;924
Lubersac;87594671;19210;c;388;388;1948;1948;1646;1646.94516;2198;2198
Luchon;87611236;31110;c;23722;23722;31900;31900;35488;35488.397778;42046;42046
Luçon;87486258;85400;c;55019;55019;61294;61294;60513;60513.847888;66527;66527
Lusignan;87485540;86600;c;42193;42193;45138;45138;42441;42441.008572;44928;44928
Lussac-les-Châteaux;87575845;86320;c;19520;19520;26226;26226;26702;26702.00254;24970;24970
Luzenac - Garanou;87611558;9250;c;8507;8507;10892;10892;9797;9797.0224;9369;9369
Lyon Saint-Paul;87721159;69005;b;1434039;1792549;1461390;1826738;1298877;1623597.37933;1186092;1482615
Magenta;87281873;75010;b;43958116;43958116;45245622;45245622;45730527;45730527.22;45560663;45560663
Malaunay - Le Houlme;87411256;76770;c;80870;80870;88424;88424;92259;92259.74106;94757;94757
Marcheprime;87582445;33380;b;374402;468003;351444;439305;315771;394714.07686;312999;391249
Maresquel;87317206;62990;c;15;15;165;165;571;571.896774;711;711
Mareuil-sur-Ourcq;87116665;60890;c;98697;98697;100063;100063;96852;96852.9939695;90117;90117
Marienthal;87213603;67500;c;63047;63047;63044;63044;69455;69455.545416;70414;70414
Marmagne sous Creusot;87694182;71710;c;156;156;96;96;220;220.9;275;275
Marne-la-Vallée Chessy;87111849;77111;a;5769082;5998014;5786881;6016519;5202635;5409089.52724;5219298;5426413
Maromme;87411249;76150;b;92979;116224;95966;119958;89439;111798.989008;108387;135483
Marseille Saint-Charles;87751008;13232;a;13663784;21349663;14425488;22539825;13519765;21124633.683;13661772;21346520
Martigues;87753509;13500;c;41142;41142;50797;50797;47404;47404.2081402;52934;52934
Marvejols;87783282;48100;c;21787;21787;25742;25742;29945;29945.154836;33040;33040
Massérac;87471227;44290;c;10227;10227;8028;8028;8415;8415.789644;11547;11547
Massy TGV;87393702;91300;a;2397978;3961877;3049726;5038677;1984315;3278434.30435;1695281;2800899
Matzenheim;87214130;67150;c;30896;30896;33544;33544;32394;32394.46435;32089;32089
Maule;87381723;78580;b;303254;303254;298484;298484;292874;292874.447866;285622;285622
Mazingarbe;87342121;62670;c;1386;1386;1009;1009;1605;1605.636774;1373;1373
Menton Garavan;87756494;6500;b;196796;245995;230197;287747;210608;263260.554833;211987;264983
Méricourt - Ribemont;87313064;80340;c;35096;35096;32162;32162;30772;30772.223632;29761;29761
Merrey;87142406;52240;c;4;4;75;75;172;172.0;251;251
Méru;87313668;60110;b;804890;1006113;897366;1121708;857444;1071806.04039;803770;1004713
Merxheim;87182725;68500;c;53512;53512;51771;51771;48339;48339.06504;49348;49348
Messac - Guipry;87471185;35480;b;228442;285553;245555;306944;245557;306947.271747;253292;316615
Metzervisse;87191338;57940;c;4727;4727;5608;5608;6276;6276.147532;6867;6867
Meudon Val Fleury;87393082;92190;b;2938907;2938907;2996579;2996579;2993491;2993491.87943;2979631;2979631
Meung-sur-Loire;87574137;45130;b;298142;372678;290582;363228;269021;336276.546503;281010;351263
Meursault;87713560;21190;c;16723;16723;18019;18019;15772;15772.87742;16038;16038
Miribel;87723528;1700;b;274363;342954;284847;356059;270932;338665.861848;283043;353804
Moissac;87611889;82200;c;66280;66280;83915;83915;83344;83344.787834;81273;81273
Molsheim;87214577;67120;b;1552953;1941191;1605601;2007002;1564791;1955989.30105;1552148;1940185
Monaco-Monte-Carlo;87756403;98000;;6312533;6312533;6588940;6588940;5730408;5730408.42968;5848796;5848796
